Disease, medicine_1, medicine_2, medicine_3, medicine_4, medicine_5, medicine_6
Cervical spondylosis, Naproxen, Muscle relaxants, Gabapentin, Diclofenac, Acetaminophen, Ibuprofen
Cervical spondylosis, Muscle relaxants, Naproxen, Ibuprofen, Acetaminophen, Diclofenac, Gabapentin
Cervical spondylosis, Ibuprofen, Naproxen, Gabapentin, Muscle relaxants, Acetaminophen, Diclofenac
Cervical spondylosis, Gabapentin, Naproxen, Diclofenac, Muscle relaxants, Acetaminophen, Ibuprofen
Cervical spondylosis, Acetaminophen, Diclofenac, Ibuprofen, Gabapentin, Naproxen, Muscle relaxants
Paralysis (brain hemorrhage), anticoagulants, antiplatelet_agents, thrombolytics, corticosteroids, neuroprotective_agents, analgesics
Paralysis (brain hemorrhage), antiplatelet_agents, anticoagulants, corticosteroids, thrombolytics, neuroprotective_agents, analgesics
Paralysis (brain hemorrhage), corticosteroids, anticoagulants, analgesics, thrombolytics, neuroprotective_agents, antiplatelet_agents
Paralysis (brain hemorrhage), aspirin, warfarin, alteplase, dexamethasone, mannitol, morphine
Paralysis (brain hemorrhage), alteplase, aspirin, dexamethasone, warfarin, mannitol, morphine
Paralysis (brain hemorrhage), warfarin, alteplase, mannitol, dexamethasone, aspirin, morphine
Paralysis (brain hemorrhage), mannitol, alteplase, corticosteroids, antiplatelet_agents, analgesics, warfarin
Paralysis (brain hemorrhage), morphine, thrombolytics, warfarin, dexamethasone, antiplatelet_agents, analgesics
Paralysis (brain hemorrhage), neuroprotective_agents, dexamethasone, morphine, alteplase, warfarin, antiplatelet_agents
Paralysis (brain hemorrhage), dexamethasone, warfarin, aspirin, mannitol, thrombolytics, morphine
Paralysis (brain hemorrhage), thrombolytics, morphine, warfarin, aspirin, dexamethasone, neuroprotective_agents
Paralysis (brain hemorrhage), analgesics, dexamethasone, alteplase, antiplatelet_agents, morphine, anticoagulants
Paralysis (brain hemorrhage), neuroprotective_agents, thrombolytics, analgesics, warfarin, dexamethasone, aspirin
Paralysis (brain hemorrhage), aspirin, neuroprotective_agents, anticoagulants, mannitol, thrombolytics, morphine
Paralysis (brain hemorrhage), morphine, neuroprotective_agents, warfarin, thrombolytics, dexamethasone, antiplatelet_agents
Paralysis (brain hemorrhage), dexamethasone, warfarin, antiplatelet_agents, morphine, analgesics, alteplase
Paralysis (brain hemorrhage), warfarin, morphine, neuroprotective_agents, aspirin, dexamethasone, thrombolytics
Paralysis (brain hemorrhage), thrombolytics, anticoagulants, dexamethasone, mannitol, analgesics, neuroprotective_agents
Paralysis (brain hemorrhage), analgesics, mannitol, warfarin, thrombolytics, corticosteroids, neuroprotective_agents
Paralysis (brain hemorrhage), neuroprotective_agents, dexamethasone, warfarin, antiplatelet_agents, alteplase, analgesics
Paralysis (brain hemorrhage), anticoagulants, morphine, thrombolytics, neuroprotective_agents, dexamethasone, analgesics
Jaundice, Ursodeoxycholic_Acid, Phenobarbital, Lactulose, Cholestyramine, N-acetylcysteine, Vitamin_K
Jaundice, Phenobarbital, Ursodeoxycholic_Acid, Lactulose, Cholestyramine, N-acetylcysteine, Vitamin_K
Jaundice, Lactulose, Vitamin_K, Ursodeoxycholic_Acid, Phenobarbital, Cholestyramine, N-acetylcysteine
Jaundice, Cholestyramine, N-acetylcysteine, Phenobarbital, Ursodeoxycholic_Acid, Lactulose, Vitamin_K
Jaundice, N-acetylcysteine, Lactulose, Cholestyramine, Vitamin_K, Phenobarbital, Ursodeoxycholic_Acid
Jaundice, Vitamin_K, Cholestyramine, Ursodeoxycholic_Acid, Lactulose, N-acetylcysteine, Phenobarbital
Jaundice, Ursodeoxycholic_Acid, Lactulose, Phenobarbital, N-acetylcysteine, Cholestyramine, Vitamin_K
Jaundice, Lactulose, N-acetylcysteine, Vitamin_K, Phenobarbital, Cholestyramine, Ursodeoxycholic_Acid
Jaundice, Phenobarbital, Cholestyramine, N-acetylcysteine, Ursodeoxycholic_Acid, Lactulose, Vitamin_K
Jaundice, Cholestyramine, Vitamin_K, N-acetylcysteine, Lactulose, Ursodeoxycholic_Acid, Phenobarbital
Jaundice, N-acetylcysteine, Ursodeoxycholic_Acid, Lactulose, Cholestyramine, Phenobarbital, Vitamin_K
Jaundice, Vitamin_K, Ursodeoxycholic_Acid, N-acetylcysteine, Phenobarbital, Lactulose, Cholestyramine
Jaundice, Lactulose, N-acetylcysteine, Vitamin_K, Cholestyramine, Ursodeoxycholic_Acid, Phenobarbital
Jaundice, Ursodeoxycholic_Acid, Cholestyramine, Phenobarbital, N-acetylcysteine, Lactulose, Vitamin_K
Jaundice, Phenobarbital, Lactulose, Vitamin_K, Cholestyramine, Ursodeoxycholic_Acid, N-acetylcysteine
Jaundice, Cholestyramine, N-acetylcysteine, Lactulose, Phenobarbital, Vitamin_K, Ursodeoxycholic_Acid
Jaundice, N-acetylcysteine, Lactulose, Cholestyramine, Vitamin_K, Ursodeoxycholic_Acid, Phenobarbital
Jaundice, Vitamin_K, Phenobarbital, N-acetylcysteine, Cholestyramine, Lactulose, Ursodeoxycholic_Acid
Jaundice, Lactulose, Vitamin_K, N-acetylcysteine, Ursodeoxycholic_Acid, Cholestyramine, Phenobarbital
Jaundice, Ursodeoxycholic_Acid, N-acetylcysteine, Lactulose, Phenobarbital, Cholestyramine, Vitamin_K
Jaundice, N-acetylcysteine, Cholestyramine, Lactulose, Vitamin_K, Ursodeoxycholic_Acid, Phenobarbital
Malaria, antimalarials, chloroquine, artemisinin, primaquine, mefloquine, doxycycline
Malaria, artemisinin, antimalarials, chloroquine, primaquine, mefloquine, doxycycline
Malaria, primaquine, chloroquine, artemisinin, mefloquine, doxycycline, antimalarials
Malaria, artemether, chloroquine, quinine, mefloquine, doxycycline, primaquine
Malaria, mefloquine, artemether, primaquine, doxycycline, chloroquine, quinine
Malaria, quinine, primaquine, chloroquine, artemisinin, antimalarials, doxycycline
Malaria, doxycycline, chloroquine, artemisinin, primaquine, mefloquine, antimalarials
Malaria, primaquine, quinine, artemether, doxycycline, chloroquine, mefloquine
Malaria, antimalarials, quinine, artemisinin, mefloquine, chloroquine, doxycycline
Malaria, chloroquine, mefloquine, primaquine, artemether, quinine, doxycycline
Malaria, artemisinin, quinine, chloroquine, mefloquine, doxycycline, primaquine
Malaria, doxycycline, primaquine, artemether, chloroquine, quinine, mefloquine
Malaria, mefloquine, chloroquine, antimalarials, artemisinin, doxycycline, primaquine
Malaria, primaquine, artemisinin, mefloquine, doxycycline, chloroquine, quinine
Malaria, quinine, artemisinin, primaquine, doxycycline, mefloquine, chloroquine
Malaria, chloroquine, artemisinin, doxycycline, mefloquine, primaquine, antimalarials
Malaria, artemether, primaquine, chloroquine, doxycycline, quinine, antimalarials
Malaria, mefloquine, artemisinin, chloroquine, doxycycline, primaquine, quinine
Malaria, antimalarials, doxycycline, primaquine, artemisinin, mefloquine, quinine
Malaria, quinine, artemether, mefloquine, chloroquine, primaquine, doxycycline
Chicken pox, Acetaminophen, Diphenhydramine, Acyclovir, Calamine lotion, Ibuprofen, Antihistamines
Chicken pox, Diphenhydramine, Acetaminophen, Acyclovir, Antihistamines, Calamine lotion, Ibuprofen
Chicken pox, Acyclovir, Calamine lotion, Acetaminophen, Ibuprofen, Diphenhydramine, Antihistamines
Chicken pox, Calamine lotion, Ibuprofen, Acyclovir, Diphenhydramine, Acetaminophen, Antihistamines
Chicken pox, Ibuprofen, Acyclovir, Diphenhydramine, Antihistamines, Acetaminophen, Calamine lotion
Chicken pox, Antihistamines, Acetaminophen, Calamine lotion, Diphenhydramine, Ibuprofen, Acyclovir
Chicken pox, Acetaminophen, Acyclovir, Antihistamines, Ibuprofen, Calamine lotion, Diphenhydramine
Chicken pox, Diphenhydramine, Ibuprofen, Antihistamines, Acyclovir, Calamine lotion, Acetaminophen
Chicken pox, Acyclovir, Antihistamines, Acetaminophen, Calamine lotion, Diphenhydramine, Ibuprofen
Chicken pox, Calamine lotion, Antihistamines, Diphenhydramine, Acyclovir, Ibuprofen, Acetaminophen
Chicken pox, Ibuprofen, Diphenhydramine, Calamine lotion, Antihistamines, Acyclovir, Acetaminophen
Chicken pox, Antihistamines, Acyclovir, Acetaminophen, Ibuprofen, Diphenhydramine, Calamine lotion
Chicken pox, Acetaminophen, Diphenhydramine, Ibuprofen, Antihistamines, Calamine lotion, Acyclovir
Chicken pox, Acyclovir, Ibuprofen, Calamine lotion, Antihistamines, Acetaminophen, Diphenhydramine
Chicken pox, Diphenhydramine, Calamine lotion, Acyclovir, Acetaminophen, Ibuprofen, Antihistamines
Chicken pox, Ibuprofen, Acyclovir, Antihistamines, Diphenhydramine, Calamine lotion, Acetaminophen
Chicken pox, Calamine lotion, Antihistamines, Ibuprofen, Acyclovir, Diphenhydramine, Acetaminophen
Chicken pox, Acyclovir, Calamine lotion, Diphenhydramine, Antihistamines, Acetaminophen, Ibuprofen
Chicken pox, Ibuprofen, Acyclovir, Calamine lotion, Diphenhydramine, Antihistamines, Acetaminophen
Chicken pox, Acetaminophen, Ibuprofen, Antihistamines, Acyclovir, Diphenhydramine, Calamine lotion
Chicken pox, Antihistamines, Acetaminophen, Diphenhydramine, Calamine lotion, Ibuprofen, Acyclovir
Dengue, analgesics, antipyretics, fluids, corticosteroids, intravenous_immunoglobulin, antivirals
Dengue, antipyretics, analgesics, intravenous_immunoglobulin, fluids, corticosteroids, antivirals
Dengue, fluids, corticosteroids, analgesics, antipyretics, antivirals, intravenous_immunoglobulin
Dengue, paracetamol, ibuprofen, fluids, corticosteroids, dengue_immunoglobulin, antivirals
Dengue, fluids, paracetamol, intravenous_immunoglobulin, ibuprofen, corticosteroids, antivirals
Dengue, intravenous_immunoglobulin, paracetamol, fluids, corticosteroids, ibuprofen, antivirals
Dengue, antivirals, paracetamol, fluids, corticosteroids, intravenous_immunoglobulin, analgesics
Dengue, ibuprofen, fluids, paracetamol, intravenous_immunoglobulin, corticosteroids, analgesics
Dengue, corticosteroids, fluids, ibuprofen, paracetamol, analgesics, intravenous_immunoglobulin
Dengue, analgesics, intravenous_immunoglobulin, fluids, paracetamol, ibuprofen, corticosteroids
Dengue, intravenous_immunoglobulin, fluids, analgesics, corticosteroids, antipyretics, antivirals
Dengue, fluids, paracetamol, analgesics, intravenous_immunoglobulin, ibuprofen, corticosteroids
Dengue, corticosteroids, fluids, intravenous_immunoglobulin, analgesics, antivirals, paracetamol
Dengue, antivirals, fluids, ibuprofen, paracetamol, corticosteroids, intravenous_immunoglobulin
Dengue, paracetamol, fluids, intravenous_immunoglobulin, analgesics, ibuprofen, corticosteroids
Dengue, analgesics, fluids, intravenous_immunoglobulin, corticosteroids, paracetamol, antivirals
Dengue, corticosteroids, ibuprofen, intravenous_immunoglobulin, fluids, paracetamol, analgesics
Dengue, paracetamol, intravenous_immunoglobulin, corticosteroids, fluids, analgesics, antivirals
Dengue, fluids, analgesics, paracetamol, ibuprofen, intravenous_immunoglobulin, corticosteroids
Dengue, intravenous_immunoglobulin, analgesics, fluids, paracetamol, corticosteroids, antivirals
Typhoid, Ciprofloxacin, Azithromycin, Ceftriaxone, Ampicillin, Chloramphenicol, Metronidazole
Typhoid, Azithromycin, Ciprofloxacin, Ampicillin, Ceftriaxone, Chloramphenicol, Metronidazole
Typhoid, Ceftriaxone, Ampicillin, Ciprofloxacin, Chloramphenicol, Azithromycin, Metronidazole
Typhoid, Ampicillin, Chloramphenicol, Azithromycin, Ceftriaxone, Ciprofloxacin, Metronidazole
Typhoid, Chloramphenicol, Metronidazole, Ciprofloxacin, Azithromycin, Ceftriaxone, Ampicillin
Typhoid, Metronidazole, Ceftriaxone, Ampicillin, Chloramphenicol, Azithromycin, Ciprofloxacin
Typhoid, Ciprofloxacin, Ceftriaxone, Metronidazole, Azithromycin, Chloramphenicol, Ampicillin
Typhoid, Azithromycin, Chloramphenicol, Ciprofloxacin, Metronidazole, Ampicillin, Ceftriaxone
Typhoid, Ceftriaxone, Azithromycin, Metronidazole, Ampicillin, Ciprofloxacin, Chloramphenicol
Typhoid, Ampicillin, Ciprofloxacin, Chloramphenicol, Metronidazole, Ceftriaxone, Azithromycin
Typhoid, Chloramphenicol, Azithromycin, Metronidazole, Ciprofloxacin, Ampicillin, Ceftriaxone
Typhoid, Metronidazole, Ciprofloxacin, Chloramphenicol, Azithromycin, Ampicillin, Ceftriaxone
Typhoid, Azithromycin, Ceftriaxone, Chloramphenicol, Ciprofloxacin, Metronidazole, Ampicillin
Typhoid, Ceftriaxone, Metronidazole, Azithromycin, Chloramphenicol, Ampicillin, Ciprofloxacin
Typhoid, Ampicillin, Metronidazole, Chloramphenicol, Azithromycin, Ceftriaxone, Ciprofloxacin
Typhoid, Chloramphenicol, Ciprofloxacin, Metronidazole, Ampicillin, Azithromycin, Ceftriaxone
Typhoid, Metronidazole, Azithromycin, Ceftriaxone, Ciprofloxacin, Chloramphenicol, Ampicillin
Typhoid, Ciprofloxacin, Ampicillin, Chloramphenicol, Metronidazole, Azithromycin, Ceftriaxone
Typhoid, Azithromycin, Metronidazole, Ampicillin, Ceftriaxone, Chloramphenicol, Ciprofloxacin
Typhoid, Ceftriaxone, Ampicillin, Metronidazole, Azithromycin, Ciprofloxacin, Chloramphenicol
Typhoid, Ampicillin, Ciprofloxacin, Azithromycin, Metronidazole, Ceftriaxone, Chloramphenicol
hepatitis A, analgesics, antivirals, vaccines, fluids, immune_globulin, nutritional_support
hepatitis A, antivirals, vaccines, analgesics, fluids, immune_globulin, nutritional_support
hepatitis A, immune_globulin, fluids, vaccines, antivirals, nutritional_support, analgesics
hepatitis A, hepatitis_A_vaccine, paracetamol, immune_globulin, fluids, nutritional_support, antivirals
hepatitis A, immune_globulin, hepatitis_A_vaccine, fluids, paracetamol, antivirals, nutritional_support
hepatitis A, fluids, analgesics, immune_globulin, hepatitis_A_vaccine, nutritional_support, antivirals
hepatitis A, antivirals, fluids, paracetamol, immune_globulin, vaccines, nutritional_support
hepatitis A, nutritional_support, immune_globulin, hepatitis_A_vaccine, fluids, antivirals, analgesics
hepatitis A, immune_globulin, vaccines, fluids, analgesics, nutritional_support, antivirals
hepatitis A, hepatitis_A_vaccine, nutritional_support, immune_globulin, fluids, antivirals, paracetamol
hepatitis A, antivirals, immune_globulin, nutritional_support, fluids, paracetamol, hepatitis_A_vaccine
hepatitis A, fluids, nutritional_support, antivirals, immune_globulin, paracetamol, hepatitis_A_vaccine
hepatitis A, paracetamol, fluids, immune_globulin, vaccines, nutritional_support, antivirals
hepatitis A, immune_globulin, antivirals, nutritional_support, hepatitis_A_vaccine, fluids, paracetamol
hepatitis A, vaccines, immune_globulin, fluids, paracetamol, nutritional_support, antivirals
hepatitis A, nutritional_support, fluids, immune_globulin, antivirals, hepatitis_A_vaccine, paracetamol
hepatitis A, hepatitis_A_vaccine, fluids, immune_globulin, nutritional_support, antivirals, paracetamol
hepatitis A, fluids, immune_globulin, paracetamol, nutritional_support, hepatitis_A_vaccine, antivirals
hepatitis A, nutritional_support, antivirals, fluids, immune_globulin, hepatitis_A_vaccine, paracetamol
hepatitis A, immune_globulin, nutritional_support, paracetamol, hepatitis_A_vaccine, antivirals, fluids
Hepatitis B, antivirals, vaccines, immune_globulin, pegylated_interferon, nucleoside_analogues, nutritional_support
Hepatitis B, vaccines, antivirals, immune_globulin, pegylated_interferon, nucleoside_analogues, nutritional_support
Hepatitis B, immune_globulin, antivirals, pegylated_interferon, nutritional_support, vaccines, nucleoside_analogues
Hepatitis B, hepatitis_B_vaccine, entecavir, immune_globulin, pegylated_interferon, nutritional_support, tenofovir
Hepatitis B, immune_globulin, hepatitis_B_vaccine, entecavir, nutritional_support, pegylated_interferon, tenofovir
Hepatitis B, nutritional_support, entecavir, immune_globulin, hepatitis_B_vaccine, pegylated_interferon, antivirals
Hepatitis B, antivirals, entecavir, immune_globulin, pegylated_interferon, vaccines, nutritional_support
Hepatitis B, nucleoside_analogues, immune_globulin, nutritional_support, pegylated_interferon, entecavir, hepatitis_B_vaccine
Hepatitis B, immune_globulin, pegylated_interferon, nutritional_support, antivirals, entecavir, hepatitis_B_vaccine
Hepatitis B, nucleoside_analogues, nutritional_support, immune_globulin, hepatitis_B_vaccine, antivirals, entecavir
Hepatitis B, entecavir, immune_globulin, nutritional_support, pegylated_interferon, antivirals, hepatitis_B_vaccine
Hepatitis B, nutritional_support, pegylated_interferon, immune_globulin, entecavir, hepatitis_B_vaccine, antivirals
Hepatitis B, pegylated_interferon, antivirals, nutritional_support, immune_globulin, entecavir, hepatitis_B_vaccine
Hepatitis B, hepatitis_B_vaccine, entecavir, immune_globulin, nutritional_support, pegylated_interferon, antivirals
Hepatitis B, immune_globulin, pegylated_interferon, nutritional_support, antivirals, nucleoside_analogues, hepatitis_B_vaccine
Hepatitis B, pegylated_interferon, entecavir, nutritional_support, immune_globulin, antivirals, hepatitis_B_vaccine
Hepatitis B, antiviral_agents, nutritional_support, immune_globulin, pegylated_interferon, entecavir, hepatitis_B_vaccine
Hepatitis B, nucleoside_analogues, immune_globulin, nutritional_support, entecavir, pegylated_interferon, hepatitis_B_vaccine
Hepatitis B, nutritional_support, antivirals, pegylated_interferon, immune_globulin, hepatitis_B_vaccine, entecavir
Hepatitis C, antivirals, pegylated_interferon, ribavirin, direct_acting_antivirals, nutritional_support, immune_globulin
Hepatitis C, pegylated_interferon, antivirals, ribavirin, direct_acting_antivirals, nutritional_support, immune_globulin
Hepatitis C, immune_globulin, antivirals, ribavirin, pegylated_interferon, nutritional_support, direct_acting_antivirals
Hepatitis C, hepatitis_C_vaccine, sofosbuvir, immune_globulin, ribavirin, nutritional_support, ledipasvir
Hepatitis C, immune_globulin, hepatitis_C_vaccine, sofosbuvir, nutritional_support, ribavirin, ledipasvir
Hepatitis C, nutritional_support, sofosbuvir, immune_globulin, hepatitis_C_vaccine, ribavirin, antivirals
Hepatitis C, antivirals, sofosbuvir, immune_globulin, ribavirin, pegylated_interferon, nutritional_support
Hepatitis C, direct_acting_antivirals, immune_globulin, nutritional_support, ribavirin, sofosbuvir, hepatitis_C_vaccine
Hepatitis C, immune_globulin, pegylated_interferon, nutritional_support, antivirals, sofosbuvir, hepatitis_C_vaccine
Hepatitis C, direct_acting_antivirals, nutritional_support, immune_globulin, hepatitis_C_vaccine, antivirals, ribavirin
Hepatitis C, sofosbuvir, immune_globulin, nutritional_support, pegylated_interferon, antivirals, hepatitis_C_vaccine
Hepatitis C, nutritional_support, pegylated_interferon, immune_globulin, sofosbuvir, hepatitis_C_vaccine, antivirals
Hepatitis C, pegylated_interferon, antivirals, nutritional_support, immune_globulin, sofosbuvir, hepatitis_C_vaccine
Hepatitis C, hepatitis_C_vaccine, sofosbuvir, immune_globulin, nutritional_support, pegylated_interferon, antivirals
Hepatitis C, immune_globulin, pegylated_interferon, nutritional_support, antivirals, direct_acting_antivirals, hepatitis_C_vaccine
Hepatitis C, pegylated_interferon, sofosbuvir, nutritional_support, immune_globulin, antivirals, hepatitis_C_vaccine
Hepatitis C, direct_acting_antivirals, nutritional_support, immune_globulin, pegylated_interferon, sofosbuvir, hepatitis_C_vaccine
Hepatitis C, nutritional_support, antivirals, pegylated_interferon, immune_globulin, hepatitis_C_vaccine, sofosbuvir
Hepatitis C, immune_globulin, nutritional_support, pegylated_interferon, antivirals, sofosbuvir, hepatitis_C_vaccine
Hepatitis D, Interferon, Ribavirin, Tenofovir, Adefovir, Entecavir, Lamivudine
Hepatitis D, Ribavirin, Interferon, Tenofovir, Lamivudine, Adefovir, Entecavir
Hepatitis D, Tenofovir, Adefovir, Interferon, Lamivudine, Ribavirin, Entecavir
Hepatitis D, Adefovir, Interferon, Lamivudine, Tenofovir, Ribavirin, Entecavir
Hepatitis D, Entecavir, Tenofovir, Ribavirin, Interferon, Adefovir, Lamivudine
Hepatitis D, Lamivudine, Tenofovir, Adefovir, Ribavirin, Interferon, Entecavir
Hepatitis D, Interferon, Tenofovir, Adefovir, Lamivudine, Entecavir, Ribavirin
Hepatitis D, Ribavirin, Adefovir, Interferon, Lamivudine, Tenofovir, Entecavir
Hepatitis D, Tenofovir, Ribavirin, Interferon, Adefovir, Lamivudine, Entecavir
Hepatitis D, Adefovir, Lamivudine, Interferon, Ribavirin, Tenofovir, Entecavir
Hepatitis D, Entecavir, Ribavirin, Lamivudine, Interferon, Adefovir, Tenofovir
Hepatitis D, Lamivudine, Interferon, Tenofovir, Adefovir, Ribavirin, Entecavir
Hepatitis D, Tenofovir, Entecavir, Ribavirin, Adefovir, Interferon, Lamivudine
Hepatitis D, Interferon, Lamivudine, Adefovir, Ribavirin, Tenofovir, Entecavir
Hepatitis D, Adefovir, Interferon, Tenofovir, Lamivudine, Ribavirin, Entecavir
Hepatitis D, Ribavirin, Tenofovir, Entecavir, Adefovir, Lamivudine, Interferon
Hepatitis D, Entecavir, Tenofovir, Ribavirin, Interferon, Lamivudine, Adefovir
Hepatitis D, Lamivudine, Adefovir, Ribavirin, Tenofovir, Interferon, Entecavir
Hepatitis D, Adefovir, Ribavirin, Interferon, Entecavir, Tenofovir, Lamivudine
Hepatitis D, Interferon, Adefovir, Lamivudine, Ribavirin, Entecavir, Tenofovir
Hepatitis E, antivirals, supportive_care, immune_globulin, ribavirin, nutritional_support, hydration
Hepatitis E, supportive_care, antivirals, immune_globulin, ribavirin, nutritional_support, hydration
Hepatitis E, immune_globulin, antivirals, ribavirin, supportive_care, nutritional_support, hydration
Hepatitis E, hepatitis_E_vaccine, ribavirin, immune_globulin, supportive_care, nutritional_support, hydration
Hepatitis E, immune_globulin, hepatitis_E_vaccine, ribavirin, nutritional_support, supportive_care, hydration
Hepatitis E, nutritional_support, ribavirin, immune_globulin, hepatitis_E_vaccine, supportive_care, hydration
Hepatitis E, antivirals, ribavirin, immune_globulin, supportive_care, nutritional_support, hydration
Hepatitis E, hydration, immune_globulin, nutritional_support, ribavirin, supportive_care, hepatitis_E_vaccine
Hepatitis E, immune_globulin, supportive_care, nutritional_support, antivirals, ribavirin, hepatitis_E_vaccine
Hepatitis E, ribavirin, nutritional_support, immune_globulin, supportive_care, hepatitis_E_vaccine, antivirals
Hepatitis E, nutritional_support, supportive_care, immune_globulin, ribavirin, hepatitis_E_vaccine, antivirals
Hepatitis E, supportive_care, ribavirin, immune_globulin, nutritional_support, hepatitis_E_vaccine, antivirals
Hepatitis E, hepatitis_E_vaccine, ribavirin, nutritional_support, immune_globulin, supportive_care, antivirals
Hepatitis E, immune_globulin, supportive_care, nutritional_support, antivirals, ribavirin, hepatitis_E_vaccine
Hepatitis E, supportive_care, ribavirin, nutritional_support, immune_globulin, hepatitis_E_vaccine, antivirals
Hepatitis E, nutritional_support, immune_globulin, supportive_care, antivirals, ribavirin, hepatitis_E_vaccine
Hepatitis E, hydration, immune_globulin, supportive_care, ribavirin, nutritional_support, hepatitis_E_vaccine
Hepatitis E, nutritional_support, antivirals, supportive_care, immune_globulin, hepatitis_E_vaccine, ribavirin
Hepatitis E, immune_globulin, nutritional_support, ribavirin, supportive_care, hepatitis_E_vaccine, antivirals
Alcoholic hepatitis, Corticosteroids, Pentoxifylline, Nutritional support, Thiamine, Folic acid, B vitamins
Alcoholic hepatitis, Pentoxifylline, Corticosteroids, Thiamine, Folic acid, B vitamins, Nutritional support
Alcoholic hepatitis, Thiamine, Corticosteroids, Pentoxifylline, B vitamins, Nutritional support, Folic acid
Alcoholic hepatitis, Folic acid, Nutritional support, Pentoxifylline, Thiamine, Corticosteroids, B vitamins
Alcoholic hepatitis, B vitamins, Corticosteroids, Thiamine, Pentoxifylline, Folic acid, Nutritional support
Alcoholic hepatitis, Nutritional support, Folic acid, B vitamins, Corticosteroids, Thiamine, Pentoxifylline
Alcoholic hepatitis, Corticosteroids, Nutritional support, B vitamins, Pentoxifylline, Folic acid, Thiamine
Alcoholic hepatitis, Pentoxifylline, Thiamine, Nutritional support, B vitamins, Corticosteroids, Folic acid
Alcoholic hepatitis, Thiamine, Nutritional support, B vitamins, Folic acid, Pentoxifylline, Corticosteroids
Alcoholic hepatitis, Folic acid, B vitamins, Corticosteroids, Thiamine, Nutritional support, Pentoxifylline
Alcoholic hepatitis, B vitamins, Nutritional support, Thiamine, Pentoxifylline, Corticosteroids, Folic acid
Alcoholic hepatitis, Nutritional support, Corticosteroids, B vitamins, Thiamine, Folic acid, Pentoxifylline
Alcoholic hepatitis, Pentoxifylline, Folic acid, Nutritional support, Corticosteroids, Thiamine, B vitamins
Alcoholic hepatitis, Thiamine, Corticosteroids, Nutritional support, Pentoxifylline, B vitamins, Folic acid
Alcoholic hepatitis, Folic acid, Thiamine, Corticosteroids, Pentoxifylline, Nutritional support, B vitamins
Alcoholic hepatitis, Corticosteroids, B vitamins, Folic acid, Thiamine, Pentoxifylline, Nutritional support
Alcoholic hepatitis, Pentoxifylline, B vitamins, Thiamine, Nutritional support, Folic acid, Corticosteroids
Alcoholic hepatitis, Thiamine, Pentoxifylline, Nutritional support, B vitamins, Folic acid, Corticosteroids
Alcoholic hepatitis, Folic acid, Thiamine, Nutritional support, Corticosteroids, Pentoxifylline, B vitamins
Alcoholic hepatitis, Nutritional support, Pentoxifylline, Folic acid, B vitamins, Corticosteroids, Thiamine
Tuberculosis, rifampicin, isoniazid, pyrazinamide, ethambutol, vitamin_B6, supportive_care
Tuberculosis, isoniazid, rifampicin, ethambutol, pyrazinamide, vitamin_B6, supportive_care
Tuberculosis, ethambutol, rifampicin, isoniazid, pyrazinamide, supportive_care, vitamin_B6
Tuberculosis, rifampicin, isoniazid, vitamin_B6, pyrazinamide, supportive_care, ethambutol
Tuberculosis, vitamin_B6, rifampicin, isoniazid, ethambutol, supportive_care, pyrazinamide
Tuberculosis, supportive_care, isoniazid, pyrazinamide, vitamin_B6, ethambutol, rifampicin
Tuberculosis, pyrazinamide, rifampicin, supportive_care, isoniazid, vitamin_B6, ethambutol
Tuberculosis, ethambutol, vitamin_B6, supportive_care, rifampicin, isoniazid, pyrazinamide
Tuberculosis, supportive_care, ethambutol, pyrazinamide, rifampicin, vitamin_B6, isoniazid
Tuberculosis, rifampicin, supportive_care, vitamin_B6, isoniazid, ethambutol, pyrazinamide
Tuberculosis, isoniazid, ethambutol, supportive_care, rifampicin, pyrazinamide, vitamin_B6
Tuberculosis, pyrazinamide, supportive_care, vitamin_B6, rifampicin, ethambutol, isoniazid
Tuberculosis, vitamin_B6, ethambutol, supportive_care, isoniazid, pyrazinamide, rifampicin
Tuberculosis, supportive_care, rifampicin, vitamin_B6, isoniazid, ethambutol, pyrazinamide
Tuberculosis, pyrazinamide, supportive_care, rifampicin, vitamin_B6, isoniazid, ethambutol
Tuberculosis, ethambutol, isoniazid, supportive_care, pyrazinamide, rifampicin, vitamin_B6
Tuberculosis, vitamin_B6, rifampicin, ethambutol, isoniazid, supportive_care, pyrazinamide
Tuberculosis, supportive_care, pyrazinamide, vitamin_B6, rifampicin, isoniazid, ethambutol
Tuberculosis, isoniazid, vitamin_B6, supportive_care, ethambutol, rifampicin, pyrazinamide
Common Cold, Acetaminophen, Ibuprofen, Antihistamines, Decongestants, Cough suppressants, Vitamin C
Common Cold, Ibuprofen, Acetaminophen, Decongestants, Antihistamines, Cough suppressants, Zinc
Common Cold, Antihistamines, Vitamin C, Cough suppressants, Decongestants, Ibuprofen, Acetaminophen
Common Cold, Decongestants, Cough suppressants, Antihistamines, Zinc, Acetaminophen, Ibuprofen
Common Cold, Cough suppressants, Vitamin C, Ibuprofen, Antihistamines, Decongestants, Acetaminophen
Common Cold, Vitamin C, Antihistamines, Decongestants, Cough suppressants, Ibuprofen, Zinc
Common Cold, Antihistamines, Acetaminophen, Cough suppressants, Zinc, Ibuprofen, Decongestants
Common Cold, Ibuprofen, Cough suppressants, Decongestants, Antihistamines, Acetaminophen, Vitamin C
